artist,uri,followers,genres,popularity,billboard
Guty Cárdenas,spotify:artist:1XXNhXjfbtXeW1amhbUKIW,5285,['ranchera'],26,0
Herman's Hermits,spotify:artist:48YxSlb23RAaCd4RyHcV9V,253908,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'rock-and-roll']",56,1
Langston Hughes,spotify:artist:1mNcebzTg5QlHEY4WYhLSm,4816,"['american modern classical', 'poetry']",16,0
The Doors,spotify:artist:22WZ7M8sxp5THdruNY3gXt,4867279,"['acid rock', 'album rock', 'classic rock', 'psychedelic rock', 'rock']",77,1
The Hombres,spotify:artist:5Kd7EaN14eunBIyNux2c3z,663,['classic garage rock'],20,1
Syd Dale,spotify:artist:3zIU8LPjTkHA4kvYK4UrM4,2275,"['easy listening', 'exotica', 'library music', 'lounge', 'moog', 'spytrack']",27,0
Françoise Hardy,spotify:artist:7x3f7c0fBanNlQwpx1255g,196272,"['chanson', 'ye ye']",61,0
Charles Mingus,spotify:artist:1W8TbFzNS15VwsempfY12H,292404,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'electric bass', 'free jazz', 'hard bop', 'jazz', 'jazz double bass', 'jazz fusion']",55,0
Gilberto Gil,spotify:artist:7oEkUINVIj1Nr3Wnj8tzqr,645766,"['bossa nova', 'forro', 'mpb', 'samba', 'violao']",68,0
André Hossein,spotify:artist:78Y9jLWrj4OZhYahQ6otcH,135,"['french soundtrack', 'oriental classical']",13,0
The Hippy Boys,spotify:artist:579Ncba3u16DyUSrvxctnx,2074,"['early reggae', 'rock steady']",19,0
Benjamin Britten,spotify:artist:7MJ1pB5d6Vjmzep2zQlorn,29514,"['british modern classical', 'classical', 'neoclassicism']",52,0
The Detergents,spotify:artist:1WbH0e5a1gdnw5oVPZ8OJV,69,[],5,1
The Searchers,spotify:artist:4QmkLL9JOqM9dusHS1Hghe,107287,"['adult standards', 'brill building pop', 'british invasion', 'bubblegum pop', 'classic uk pop', 'folk rock', 'merseybeat', 'rock-and-roll', 'rockabilly']",51,1
Bobby Moore & The Rhythm Aces,spotify:artist:6qlpFH9e4sZ52tAPy2KmLz,1369,['classic soul'],34,1
The Shangri-Las,spotify:artist:1WvziZcLLYLoMMdmQx7qcN,69045,"['brill building pop', 'classic girl group']",48,1
Donovan,spotify:artist:4SOtk3HtPYKqxnVuxNBMti,43816,"['acoustic pop', 'canadian folk', 'canadian indie', 'canadian singer-songwriter', 'deep new americana', 'indie anthem-folk', 'indie folk', 'indiecoustica', 'neo mellow', 'new americana', 'stomp and holler']",60,1
Tommy McCook,spotify:artist:27CnIh4lLIOW2DqEwO1QIf,10223,"['dub', 'early reggae', 'reggae', 'rock steady', 'roots reggae', 'ska', 'ska jazz']",42,0
Aretha Franklin,spotify:artist:7nwUJBm0HE4ZxD3f5cy5ok,2222423,"['adult standards', 'classic soul', 'jazz blues', 'memphis soul', 'soul', 'southern soul']",75,1
Ramsey Lewis,spotify:artist:7Kfrmups2Z3ncDQmNS5jRc,48685,"['funk', 'instrumental soul', 'jazz funk', 'jazz fusion', 'jazz piano', 'smooth jazz', 'soul jazz']",49,1
The Stooges,spotify:artist:4BFMTELQyWJU1SwqcXMBm3,357753,"['alternative rock', 'blues rock', 'classic rock', 'dance rock', 'garage rock', 'new wave', 'permanent wave', 'post-punk', 'protopunk', 'psychedelic rock', 'punk', 'punk blues', 'rock']",57,0
Carlo Savina,spotify:artist:0JPH3a8DUy38JvZsdhmEnC,972,['vintage italian soundtrack'],33,0
Doc Watson,spotify:artist:01N1aZStXA4yGvkz4vRXtJ,54701,"['american folk revival', 'appalachian folk', 'bluegrass', 'country rock', 'folk', 'jam band', 'new americana', 'old-time', 'progressive bluegrass', 'traditional folk']",52,0
Bob Wills,spotify:artist:0VyOgubdcDnrJ0AWL2TRDN,19246,"['bakersfield sound', 'traditional country', 'traditional folk', 'western swing']",41,0
Wolfgang Amadeus Mozart,spotify:artist:4NJhFmfw43RLBLjQvxDuRS,3414256,"['classical', 'classical era']",78,0
Ernesto Lecuona,spotify:artist:4Gd1JXQVbYicIeo2bDNHwL,4930,['mambo'],36,0
The Marvelows,spotify:artist:5UBLqIfKvD6GNuZefZQ504,200,"['chicago soul', 'doo-wop']",15,1
Percy Sledge,spotify:artist:3rRmDmzPcAFwcUDvG5gBqO,300191,"['classic soul', 'soul', 'southern soul']",58,1
Tito Puente,spotify:artist:6SPpCqM8gOzrtICAxN5NuX,122276,"['latin jazz', 'mambo', 'salsa']",54,0
David Houston,spotify:artist:7tIs7rxqGuBvWMhIIigunf,8608,['nashville sound'],35,1
Pharoah Sanders,spotify:artist:3JLUCojZaHrX2LaUkSj7Ud,54016,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free improvisation', 'free jazz', 'hard bop', 'indie jazz', 'jazz', 'jazz funk', 'jazz saxophone', 'spiritual jazz']",46,0
Cowboy Copas,spotify:artist:4szqhE3dT8nzYnlXYGwzmi,6517,"['honky tonk', 'western swing']",24,1
Harry Belafonte,spotify:artist:6Tw1ktF4xMmzaLLbe98I2z,108331,"['adult standards', 'brill building pop', 'calypso', 'lounge']",59,0
The Ivy League,spotify:artist:4xzeOvWTraQHZgxOgpz59N,5969,"['british invasion', 'bubblegum pop', 'merseybeat']",34,1
The Marvelettes,spotify:artist:0MponVSpW81oLvJZ53vYZH,196856,"['brill building pop', 'classic girl group', 'classic soul', 'motown', 'rhythm and blues', 'soul', 'southern soul']",57,1
The Strangeloves,spotify:artist:4NMkJqM1SsQP3gk81cqk6K,3622,"['classic garage rock', 'freakbeat']",33,1
Staatskapelle Dresden,spotify:artist:3Vfvyx6OouTxYU3emXonW7,9299,"['classical', 'classical performance', 'orchestra']",51,0
Sonny Rollins,spotify:artist:1VEzN9lxvG6KPR3QQGsebR,212506,"['avant-garde jazz', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz fusion', 'jazz saxophone', 'soul jazz']",54,0
Johnny Burnette,spotify:artist:1neKWNZP74NEuvHZmvMS58,12992,"['rhythm and blues', 'rock-and-roll', 'rockabilly', 'surf music']",40,1
Steam,spotify:artist:4cRXBNKXZ5vfw2IidDobcZ,5583,['pop edm'],45,1
Vienna State Opera Orchestra,spotify:artist:5VFkAGIv1Pioeb6e2JfpOE,4910,['classical performance'],43,0
Bobby Hendricks,spotify:artist:23j9dIV7tltqbu7XAGwll9,323,[],16,1
Conway Twitty,spotify:artist:7gi3jmwpUpNWdswT8eEprF,438873,"['arkansas country', 'country', 'country rock']",63,1
Elmer Bernstein,spotify:artist:7sXdMnZeR5MsLKToZKpR2c,14989,"['classic soundtrack', 'soundtrack', 'theme']",48,0
John Zacherle,spotify:artist:3QUZOEl7WwFC0Hfl9z4Mhk,756,['halloween'],12,0
Marinês E Sua Gente,spotify:artist:0KlNQBgk1RtKWfCPPKpgvr,4230,"['forro', 'forro tradicional']",24,0
Al Martino,spotify:artist:7egNqIGRldMzifHoh8pib6,59526,"['adult standards', 'brill building pop', 'easy listening', 'lounge']",51,1
Piero Piccioni,spotify:artist:2WPn0emjr8XPmMOT0bBcPe,13632,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",47,0
Maurice Jarre,spotify:artist:6iyQYs37mRXLW04Z9NOnNT,13158,"['classic soundtrack', 'french soundtrack', 'soundtrack']",46,0
Krokodil,spotify:artist:2oNdyLX6qiVvNGbBNaON20,1759,['krautrock'],16,0
Javier Solís,spotify:artist:7jerD1mbWgyDukHAmCvdCj,782250,"['bolero', 'grupera', 'mariachi', 'ranchera']",65,0
The Contours,spotify:artist:2ugPdplEWBmyU6EcIzlcY1,72186,"['motown', 'northern soul', 'soul']",53,1
Johnny Tillotson,spotify:artist:36msvw9B10rxW90NSQ2794,41709,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'merseybeat', 'nashville sound', 'rock-and-roll', 'rockabilly']",49,1
Cilla Black,spotify:artist:3bCvHtuIXWXPbCMdSYudmZ,66767,"['adult standards', 'brill building pop', 'bubblegum pop', 'classic uk pop', 'merseybeat', 'rock-and-roll']",47,1
The Olympics,spotify:artist:3KtW4xANJkgfEnFgMxaj8h,1788,"['doo-wop', 'rhythm and blues']",25,1
Jorge Ben Jor,spotify:artist:5JYtpnUKxAzXfHEYpOeeit,487629,"['bossa nova', 'mangue bit', 'mpb', 'pagode', 'samba', 'samba-rock']",65,0
Julio Gutierrez,spotify:artist:5YaKihcj4tZHLlw0uPpsaw,191,"['charanga', 'mambo']",7,0
The Kinks,spotify:artist:1SQRv42e4PjEYfPhS0Tk9E,1507237,"['album rock', 'art rock', 'british invasion', 'classic rock', 'dance rock', 'folk rock', 'glam rock', 'mellow gold', 'protopunk', 'psychedelic rock', 'rock', 'roots rock']",72,1
Jack Scott,spotify:artist:09XH5qagU5qcWhYXcQYsjX,176,[],46,1
Michel Legrand,spotify:artist:1EtE0iSY6iFlN9L9c53ETy,30639,"['chanson', 'classic soundtrack', 'french jazz', 'french soundtrack']",50,0
Raimon,spotify:artist:3oZq4zhpZVJey6Vo5lRByX,34,[],34,0
The Lovin' Spoonful,spotify:artist:7CCn4PFRRRZF127jtCBAUe,258506,"['brill building pop', 'bubblegum pop', 'classic rock', 'country rock', 'folk', 'folk rock', 'mellow gold', 'merseybeat', 'psychedelic rock', 'rock', 'rock-and-roll', 'roots rock', 'soft rock', 'traditional folk']",59,1
Gene Pitney,spotify:artist:3ap1NzHNV9QA1x1V6z3gSe,127031,"['adult standards', 'brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat', 'rock-and-roll']",49,1
Gerald Wilson Orchestra,spotify:artist:3uFJaB8DycK3ZlWTzY3d6A,208,['jazz orchestra'],11,0
Patsy Cline,spotify:artist:7dNsHhGeGU5MV01r06O8gK,466523,"['adult standards', 'nashville sound']",63,1
Pozo Seco Singers,spotify:artist:25FIeQrCQgGCv2JzuzwzNx,1071,['american folk revival'],30,1
Vicente Fernández,spotify:artist:4PPoI9LuYeFX8V674Z1R6l,3270206,"['grupera', 'mariachi', 'ranchera']",77,0
Michel Polnareff,spotify:artist:7aKldvGENbL4bj8TCWHuhT,96198,"['chanson', 'french pop', 'french rock', 'ye ye']",53,0
Wilson Pickett,spotify:artist:0N5PyKJzS3M1XNlaCL7bbE,375839,"['adult standards', 'brill building pop', 'classic rock', 'classic soul', 'folk rock', 'funk', 'memphis soul', 'motown', 'rock-and-roll', 'soul', 'southern soul']",61,1
Captain Beefheart & His Magic Band,spotify:artist:2k8kY9zHUWxuTtwV4UutHw,116382,"['art rock', 'canterbury scene', 'classic rock', 'country rock', 'dance rock', 'experimental', 'experimental rock', 'folk rock', 'garage rock', 'no wave', 'outsider', 'post-punk', 'protopunk', 'psychedelic rock', 'roots rock', 'zolo']",52,0
Chubby Checker,spotify:artist:7qQJQ3YtcGlqaLg5tcypN2,171089,"['adult standards', 'brill building pop', 'bubblegum pop', 'doo-wop', 'rock-and-roll', 'rockabilly']",57,1
Blue Cheer,spotify:artist:4PI5IHRvANLL76O5gRmGKL,39109,"['acid rock', 'blues rock', 'classic garage rock', 'hard rock', 'protopunk', 'psychedelic blues-rock', 'psychedelic rock']",37,1
Carmelia Alves,spotify:artist:0c2j2j6ywKLZW8iYJ7OVcb,696,"['baiao', 'forro', 'forro tradicional']",12,0
The Pretty Things,spotify:artist:5U16QlMnlSAhkQxBZpLyLO,65361,"['art rock', 'blues rock', 'british blues', 'british invasion', 'classic garage rock', 'classic rock', 'country rock', 'experimental', 'experimental rock', 'folk rock', 'freakbeat', 'garage rock', 'merseybeat', 'protopunk', 'psychedelic rock', 'pub rock']",44,0
Traffic,spotify:artist:1CD77o9fbdyQFrHnUPUEsF,312915,"['album rock', 'art rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk', 'folk rock', 'hard rock', 'jam band', 'mellow gold', 'progressive rock', 'psychedelic rock', 'rock', 'roots rock', 'soft rock', 'symphonic rock']",56,0
Jean Prodromidès,spotify:artist:1B2pjoZjfywGdLnRmmt8yk,53,"['classic soundtrack', 'french soundtrack']",2,0
The Little Dippers,spotify:artist:0cT2S58Ulp0BGro6KXAm56,155,[],23,1
Brenda Lee,spotify:artist:4cPHsZM98sKzmV26wlwD2W,162348,"['adult standards', 'brill building pop', 'easy listening', 'lounge', 'rockabilly']",55,1
Neil Diamond,spotify:artist:7mEIug7XUlQHikrFxjTWes,1114301,"['adult standards', 'brill building pop', 'folk', 'folk rock', 'mellow gold', 'singer-songwriter', 'soft rock', 'yacht rock']",72,1
The Clique,spotify:artist:0WqQKHGNYYkLta53n6pTOM,30,[],12,1
Jackie DeShannon,spotify:artist:0iVed2Qu7dmL0pIYCj1Xw8,22247,"['brill building pop', 'bubblegum pop', 'folk rock', 'merseybeat']",46,1
Mulatu Astatke,spotify:artist:7HGFXtBhRq3g1Ma3nH4Rgv,116642,"['afrobeat', 'afropop', 'ethio-jazz', 'funk', 'world']",56,0
Bobby Vinton,spotify:artist:6bOYtKnpLPQSfMpS2ilotK,134958,"['adult standards', 'brill building pop', 'bubblegum pop', 'easy listening', 'lounge', 'rock-and-roll']",57,1
The Ventures,spotify:artist:2GaayiIs1kcyNqRXQuzp35,92056,"['rock-and-roll', 'rockabilly', 'surf music']",51,1
Bud Powell,spotify:artist:570vCzcespB48HIQyTbDO6,62276,"['avant-garde jazz', 'bebop', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz piano', 'soul jazz', 'stride', 'vocal jazz']",45,0
The Coasters,spotify:artist:3QZKZBEmr54lAVI5XvmjnM,119956,"['brill building pop', 'doo-wop', 'motown', 'rhythm and blues', 'rock-and-roll', 'rockabilly', 'soul']",54,1
Peter Thomas,spotify:artist:2MhPVBzM72QjbQPhybKjyr,1322,[],27,0
Archie Bell & The Drells,spotify:artist:1kupwLFpHALpmhp5qol8xH,37173,"['classic soul', 'disco', 'motown', 'northern soul', 'philly soul', 'quiet storm', 'rhythm and blues', 'soul', 'southern soul']",43,1
Smith,spotify:artist:2wY79sveU1sp5g7SokKOiI,12575405,"['pop', 'post-teen pop', 'uk pop']",89,1
John Fahey,spotify:artist:4js8BDiQwnHLlDmT1shPH7,43032,"['american primitive', 'drone folk', 'experimental', 'fingerstyle', 'folk', 'folk rock', 'freak folk', 'traditional blues', 'traditional folk']",47,0
Bee Gees,spotify:artist:1LZEQNv7sE11VDY3SdxQeN,3227113,"['adult standards', 'disco', 'mellow gold', 'soft rock']",78,1
Kenny Dorham,spotify:artist:2fMvylhnE23sAlyePKK8er,37949,"['avant-garde jazz', 'bebop', 'big band', 'contemporary post-bop', 'cool jazz', 'free jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz trumpet', 'soul jazz']",44,0
Chuck Berry,spotify:artist:293zczrfYafIItmnmM3coR,1115959,"['blues rock', 'classic rock', 'rock', 'rock-and-roll', 'rockabilly', 'roots rock', 'soul']",68,1
The Shadows Of Knight,spotify:artist:0NRN3tnDVDspHMCfyu2ZwT,13963,"['bubblegum pop', 'classic garage rock', 'freakbeat', 'protopunk', 'psychedelic rock']",33,1
Don Fardon,spotify:artist:1cqaF1Hz5pEtXVnthnFVmU,1094,['classic uk pop'],24,1
Royal Philharmonic Orchestra,spotify:artist:0MvSBMGRQJY3mRwIbJsqF1,84134,['orchestra'],72,0
John Barry,spotify:artist:7ctAOUlIAs7yuMODWE2Fyz,61930,"['adult standards', 'british soundtrack', 'classic soundtrack', 'scorecore', 'soundtrack']",60,0
Ronnie Dove,spotify:artist:3KzYAUHiKXCKpisQgRD2Ja,962,['deep adult standards'],19,1
The Impressions,spotify:artist:1b1N51wmSK0ckxFAMPSSHO,152162,"['brill building pop', 'chicago soul', 'classic soul', 'funk', 'motown', 'quiet storm', 'rhythm and blues', 'soul']",52,1
Bobby Marchan,spotify:artist:3hHAdG4gMD9GnqqWWST9D7,1387,"['rhythm and blues', 'southern soul']",15,1
Armando Trovajoli,spotify:artist:5PHOUKyz1tjA3vaDPIIVE0,6843,"['classic soundtrack', 'lounge', 'vintage italian soundtrack']",39,0
Sérgio Mendes,spotify:artist:65c5si0ePAwkOCn4M35Ho7,103058,"['bossa nova', 'brazilian jazz', 'samba']",59,0
Gaetano Donizetti,spotify:artist:2jCGEMSZXMSOImpD8sqo56,42031,"['early romantic era', 'italian opera']",51,0
Laurie Lee,spotify:artist:2X8DE4IoINEpeLz7pQ6X8x,34,['poetry'],0,0
Theodore Roethke,spotify:artist:1e5WbaUaQQev157sQYMtNj,322,['poetry'],3,0
