artist,chart
"Thomas Rhett Featuring Reba McEntire, Hillary Scott, Chris Tomlin & Keith Urban",hot-100
Lil Baby & Gunna,hot-100
Summer Walker & Usher,hot-100
DaBaby,hot-100
Florida Georgia Line,hot-100
Young T & Bugsey Featuring Headie One,hot-100
Lil Uzi Vert,billboard-200
Megan Thee Stallion,billboard-200
Doja Cat,billboard-200
YoungBoy Never Broke Again,billboard-200
Travis Scott,billboard-200
Grateful Dead,billboard-200
Justin Bieber,billboard-200
Soundtrack,billboard-200
Queen,billboard-200
Summer Walker,billboard-200
Taylor Swift,billboard-200
JoJo,billboard-200
Elevation Worship,billboard-200
Blake Shelton,billboard-200
JACKBOYS,billboard-200
Tory Lanez,billboard-200
Bob Marley And The Wailers,billboard-200
BTS,billboard-200
Elton John,billboard-200
Mozzy,billboard-200
Lizzo,billboard-200
Eminem,billboard-200
Creedence Clearwater Revival,billboard-200
Chris Brown & Young Thug,billboard-200
A Boogie Wit da Hoodie,billboard-200
Young Thug,billboard-200
Journey,billboard-200
Fleetwood Mac,billboard-200
Khalid,billboard-200
Camila Cabello,billboard-200
Trippie Redd,billboard-200
Chris Stapleton,billboard-200
XXXTENTACION,billboard-200
Ariana Grande,billboard-200
Chris Brown,billboard-200
Ed Sheeran,billboard-200
The Beatles,billboard-200
Original Broadway Cast,billboard-200
Tom Petty And The Heartbreakers,billboard-200
Selena Gomez,billboard-200
Billy Joel,billboard-200
Cardi B,billboard-200
K Camp,billboard-200
Mustard,billboard-200
Guns N' Roses,billboard-200
2Pac,billboard-200
Kane Brown,billboard-200
Lil Tjay,billboard-200
Lil Nas X,billboard-200
AC/DC,billboard-200
Dan + Shay,billboard-200
PARTYNEXTDOOR,billboard-200
Melanie Martinez,billboard-200
Various Artists,billboard-200
The Notorious B.I.G.,billboard-200
Moneybagg Yo,billboard-200
Kendrick Lamar,billboard-200
NF,billboard-200
Lauren Daigle,billboard-200
YNW Melly,billboard-200
Shawn Mendes,billboard-200
Joyner Lucas,billboard-200
Lynyrd Skynyrd,billboard-200
Thomas Rhett,billboard-200
Old Dominion,billboard-200
Zac Brown Band,billboard-200
Mac Miller,billboard-200
The Beach Boys,billboard-200
Kelsea Ballerini,billboard-200
Jonas Brothers,billboard-200
Green Day,billboard-200
Eagles,billboard-200
Michael Jackson,billboard-200
G Herbo,billboard-200
J. Cole,billboard-200
J Balvin,billboard-200
Imagine Dragons,billboard-200
American Aquarium,billboard-200
Bob Seger & The Silver Bullet Band,billboard-200
Lauv,billboard-200
The Rolling Stones,billboard-200
Red Hot Chili Peppers,billboard-200
Bruno Mars,billboard-200
Ozzy Osbourne,billboard-200
Polo G,billboard-200
SZA,billboard-200
Daryl Hall John Oates,billboard-200
5 Seconds Of Summer,billboard-200
Kacey Musgraves,billboard-200
Frank Ocean,billboard-200
George Strait,billboard-200
Nirvana,billboard-200
Elvis Presley,billboard-200
Tim McGraw,billboard-200
Lil Tecca,billboard-200
"Tyler, The Creator",billboard-200
Kevin Gates,billboard-200
Nipsey Hussle,billboard-200
Meek Mill,billboard-200
Metallica,billboard-200
H.E.R.,billboard-200
Lady Gaga & Bradley Cooper,billboard-200
Adele,billboard-200
Niall Horan,billboard-200
Stevie Wonder,billboard-200
Five Finger Death Punch,billboard-200
Lana Del Rey,billboard-200
Bon Jovi,billboard-200
Jon Pardi,billboard-200
Wiz Khalifa,billboard-200
Car Seat Headrest,billboard-200
Kid Cudi,billboard-200
Rihanna,billboard-200
Tyler Childers,billboard-200
Jason Aldean,billboard-200
Pink Floyd,billboard-200
Ella Mai,billboard-200
Johnny Cash,billboard-200
Frank Sinatra,billboard-200
Bazzi,billboard-200
Nicki Minaj,artist-100
Future,artist-100
Beyonce,artist-100
NCT 127,artist-100
Lady Gaga,artist-100
Marshmello,artist-100
Lee Brice,artist-100
Sam Smith,artist-100
Panic! At The Disco,artist-100
Gunna,artist-100
Prince,artist-100
Arizona Zervas,artist-100
NCT DREAM,social-50
GOT7,social-50
EXO,social-50
Grimes,social-50
SB19,social-50
SEVENTEEN,social-50
ASTRO,social-50
BLACKPINK,social-50
TOMORROW X TOGETHER,social-50
Nogizaka 46,social-50
Fiersa Besari,social-50
BAEKHYUN,social-50
ATEEZ,social-50
MONSTA X,social-50
DAY6,social-50
WayV,social-50
NCT,social-50
Manu Gavassi,social-50
TWICE,social-50
Stray Kids,social-50
THE BOYZ,social-50
Alok,social-50
Gusttavo Lima,social-50
NU'EST,social-50
Jackson Wang,social-50
Kimberly Loaiza,social-50
Post Malone & Swae Lee,streaming-songs
YNW Melly & Juice WRLD,streaming-songs
Ariana Grande & Justin Bieber,radio-songs
Skip Marley & H.E.R.,radio-songs
Carrie Underwood,radio-songs
"for King & Country, Kirk Franklin & Tori Kelly",digital-song-sales
IU Featuring SUGA,digital-song-sales
Machine Gun Kelly,digital-song-sales
Martina McBride,digital-song-sales
Banda Sinaloense MS de Sergio Lizarraga & Snoop Dogg,digital-song-sales
"Kari Jobe, Cody Carnes & Elevation Worship",digital-song-sales
Sia,digital-song-sales
Andra Day,digital-song-sales
Alicia Keys,digital-song-sales
James Taylor,top-album-sales
Lucinda Williams,top-album-sales
Blink-182,top-album-sales
The Okee Dokee Brothers,top-album-sales
The Strokes,top-album-sales
Pearl Jam,top-album-sales
Killswitch Engage,top-album-sales
Neil Diamond,top-album-sales
Prince And The Revolution,top-album-sales
Ricky Dillard,top-album-sales
Kenny Rogers,top-album-sales
Chicano Batman,top-album-sales
Man Man,top-album-sales
Trivium,top-album-sales
Fiona Apple,top-album-sales
Beastie Boys,top-album-sales
Days N Daze,top-album-sales
Alan Jackson,top-album-sales
The Steve Miller Band,top-album-sales
Amy Winehouse,top-album-sales
Kanye West,top-album-sales
Hot Country Knights,top-album-sales
ABBA,top-album-sales
Lionel Richie,top-album-sales
Boston Manor,top-album-sales
Havok,top-album-sales
Simon & Garfunkel,top-album-sales
Danzig,current-albums
Tool,current-albums
SuperM,current-albums
NWM Cee Murdaa,current-albums
Wheeler Walker Jr.,current-albums
In This Moment,current-albums
Kidz Bop Kids,current-albums
Joan Jett & the Blackhearts,current-albums
Shakey Graves,current-albums
Tame Impala,current-albums
Vader,current-albums
ZZ Top,current-albums
Ashley McBryde,current-albums
Waxahatchee,current-albums
Katatonia,current-albums
Thundercat,current-albums
The Highwomen,current-albums
X,current-albums
Joji,independent-albums
Alina Baraz,independent-albums
Jackboy,independent-albums
Motley Crue,independent-albums
Daniel Caesar,independent-albums
Dustin Lynch,independent-albums
The Lumineers,independent-albums
Pinkfong,independent-albums
Brent Faiyaz,independent-albums
Bethel Music,independent-albums
Natanael Cano,independent-albums
Myke Towers,independent-albums
Eslabon Armado,independent-albums
AJR,independent-albums
HARDY,independent-albums
Tyga,independent-albums
Bruce Springsteen,greatest-billboard-200-albums
Garth Brooks,greatest-billboard-200-albums
Alanis Morissette,greatest-billboard-200-albums
Nickelback,greatest-billboard-200-albums
Carole King,greatest-billboard-200-albums
Whitney Houston,greatest-billboard-200-albums
Herb Alpert's Tijuana Brass,greatest-billboard-200-albums
Shania Twain,greatest-billboard-200-albums
Usher,greatest-billboard-200-albums
Paula Abdul,greatest-billboard-200-albums
Billy Ray Cyrus,greatest-billboard-200-albums
Celine Dion,greatest-billboard-200-albums
M.C. Hammer,greatest-billboard-200-albums
Def Leppard,greatest-billboard-200-albums
Norah Jones,greatest-billboard-200-albums
Daughtry,greatest-billboard-200-albums
Linkin Park,greatest-billboard-200-albums
Hootie & The Blowfish,greatest-billboard-200-albums
Evanescence,greatest-billboard-200-albums
Creed,greatest-billboard-200-albums
Santana,greatest-billboard-200-albums
Peter Frampton,greatest-billboard-200-albums
Britney Spears,greatest-billboard-200-albums
Backstreet Boys,greatest-billboard-200-albums
Herb Alpert & The Tijuana Brass,greatest-billboard-200-albums
Foreigner,greatest-billboard-200-albums
Spice Girls,greatest-billboard-200-albums
Mariah Carey,greatest-billboard-200-albums
"Blood, Sweat & Tears",greatest-billboard-200-albums
Michael Bolton,greatest-billboard-200-albums
Avril Lavigne,greatest-billboard-200-albums
Boyz II Men,greatest-billboard-200-albums
Iron Butterfly,greatest-billboard-200-albums
Kid Rock,greatest-billboard-200-albums
REO Speedwagon,greatest-billboard-200-albums
No Doubt,greatest-billboard-200-albums
Lady Antebellum,greatest-billboard-200-albums
Supertramp,greatest-billboard-200-albums
Miley Cyrus,greatest-billboard-200-albums
Janet Jackson,greatest-billboard-200-albums
Milli Vanilli,greatest-billboard-200-albums
Kelly Clarkson,greatest-billboard-200-albums
Eric Clapton,greatest-billboard-200-albums
George Michael,greatest-billboard-200-albums
Bobby Brown,greatest-billboard-200-albums
Shaggy,greatest-billboard-200-albums
Wilson Phillips,greatest-billboard-200-albums
Nelly,greatest-billboard-200-albums
John Denver,greatest-billboard-200-albums
New Kids On The Block,greatest-billboard-200-albums
Chicago,greatest-billboard-200-albums
Original Cast,greatest-billboard-200-albums
Ace Of Base,greatest-billboard-200-albums
Asia,greatest-billboard-200-albums
The Black Eyed Peas,greatest-billboard-200-albums
Justin Timberlake,greatest-billboard-200-albums
Dire Straits,greatest-billboard-200-albums
Fergie,greatest-billboard-200-albums
Men At Work,greatest-billboard-200-albums
Rascal Flatts,greatest-billboard-200-albums
Mumford & Sons,greatest-billboard-200-albums
Heart,greatest-billboard-200-albums
'N Sync,greatest-billboard-200-albums
OutKast,greatest-billboard-200-albums
Kenny G,greatest-billboard-200-albums
Paul McCartney And Wings,greatest-billboard-200-albums
Jimi Hendrix,greatest-billboard-200-albums
Huey Lewis & The News,greatest-billboard-200-albums
Original Cast Recording,greatest-billboard-200-albums
The Police,greatest-billboard-200-albums
Jewel,greatest-billboard-200-albums
TLC,greatest-billboard-200-albums
U2,greatest-billboard-200-albums
Phil Collins,greatest-billboard-200-albums
The Monkees,greatest-billboard-200-albums
Whitesnake,greatest-billboard-200-albums
50 Cent,greatest-billboard-200-albums
Dixie Chicks,greatest-billboard-200-albums
Jefferson Starship,greatest-billboard-200-albums
Don McLean,greatest-billboard-200-albums
Led Zeppelin,greatest-billboard-200-albums
Akon,greatest-billboard-200-albums
John Cougar,greatest-billboard-200-albums
Lil Wayne,greatest-billboard-200-albums
Enya,greatest-billboard-200-albums
Natalie Cole,greatest-billboard-200-albums
P!nk,greatest-billboard-200-albums
Kris Kross,greatest-billboard-200-albums
"Earth, Wind & Fire",greatest-billboard-200-albums
Barbra Streisand,greatest-billboard-200-albums
Counting Crows,greatest-billboard-200-albums
Bryan Adams,greatest-billboard-200-albums
Diana Ross & The Supremes,greatest-billboard-200-albums
Cream,greatest-billboard-200-albums
Jim Croce,greatest-billboard-200-albums
Neil Young,greatest-billboard-200-albums
"Peter, Paul & Mary",greatest-billboard-200-albums
Madonna,greatest-billboard-200-albums
Tears For Fears,greatest-billboard-200-albums
Tina Turner,greatest-billboard-200-albums
Stevie Nicks,greatest-billboard-200-albums
One Direction,greatest-billboard-200-albums
Lorde,greatest-billboard-200-albums
Roberta Flack,greatest-billboard-200-albums
John Mellencamp,greatest-billboard-200-albums
matchbox 20,greatest-billboard-200-albums
Christina Aguilera,greatest-billboard-200-albums
Herb Alpert,greatest-billboard-200-artists
Rod Stewart,greatest-billboard-200-artists
Bob Dylan,greatest-billboard-200-artists
Van Halen,greatest-billboard-200-artists
The Temptations,greatest-billboard-200-artists
JAY-Z,greatest-billboard-200-artists
Aerosmith,greatest-billboard-200-artists
The Supremes,greatest-billboard-200-artists
Paul McCartney,greatest-billboard-200-artists
Linda Ronstadt,greatest-billboard-200-artists
Mary J. Blige,greatest-billboard-200-artists
Jethro Tull,greatest-billboard-200-artists
Andy Williams,greatest-billboard-200-artists
Aretha Franklin,greatest-billboard-200-artists
Cat Stevens,greatest-billboard-200-artists
Bob Seger,greatest-billboard-200-artists
Toby Keith,greatest-billboard-200-artists
The Who,greatest-billboard-200-artists
Paul Simon,greatest-billboard-200-artists
The Moody Blues,greatest-billboard-200-artists
The Doobie Brothers,greatest-billboard-200-artists
Josh Groban,greatest-billboard-200-artists
R. Kelly,greatest-billboard-200-artists
Bee Gees,greatest-billboard-200-artists
Chubby Checker,greatest-hot-100-singles
Santana Featuring Rob Thomas,greatest-hot-100-singles
Bobby Darin,greatest-hot-100-singles
LeAnn Rimes,greatest-hot-100-singles
LMFAO Featuring Lauren Bennett & GoonRock,greatest-hot-100-singles
Los Del Rio,greatest-hot-100-singles
Olivia Newton-John,greatest-hot-100-singles
Debby Boone,greatest-hot-100-singles
Mark Ronson Featuring Bruno Mars,greatest-hot-100-singles
Toni Braxton,greatest-hot-100-singles
Usher Featuring Lil Jon & Ludacris,greatest-hot-100-singles
Kim Carnes,greatest-hot-100-singles
Diana Ross & Lionel Richie,greatest-hot-100-singles
Percy Faith And His Orchestra,greatest-hot-100-singles
Chic,greatest-hot-100-singles
Survivor,greatest-hot-100-singles
Rihanna Featuring Calvin Harris,greatest-hot-100-singles
Flo Rida Featuring T-Pain,greatest-hot-100-singles
Andy Gibb,greatest-hot-100-singles
Next,greatest-hot-100-singles
Gotye Featuring Kimbra,greatest-hot-100-singles
Irene Cara,greatest-hot-100-singles
Bobby Lewis,greatest-hot-100-singles
Johnny Horton,greatest-hot-100-singles
Mariah Carey & Boyz II Men,greatest-hot-100-singles
Savage Garden,greatest-hot-100-singles
Wings,greatest-hot-100-singles
Marvin Gaye,greatest-hot-100-singles
Paul McCartney And Michael Jackson,greatest-hot-100-singles
Dawn Featuring Tony Orlando,greatest-hot-100-singles
Four Tops,greatest-hot-100-singles
Carly Rae Jepsen,greatest-hot-100-singles
Robin Thicke Featuring T.I. + Pharrell,greatest-hot-100-singles
Blondie,greatest-hot-100-singles
Mario,greatest-hot-100-singles
Ke$ha,greatest-hot-100-singles
Kanye West Featuring Jamie Foxx,greatest-hot-100-singles
Timbaland Featuring OneRepublic,greatest-hot-100-singles
The J. Geils Band,greatest-hot-100-singles
John Lennon,greatest-hot-100-singles
Brandy & Monica,greatest-hot-100-singles
Stevie B,greatest-hot-100-singles
Meghan Trainor,greatest-hot-100-singles
The 5th Dimension,greatest-hot-100-singles
Tag Team,greatest-hot-100-singles
Maroon 5 Featuring Christina Aguilera,greatest-hot-100-singles
Paul McCartney And Stevie Wonder,greatest-hot-100-singles
Dionne & Friends,greatest-hot-100-singles
Pharrell Williams,greatest-hot-100-singles
Diana Ross,greatest-hot-100-singles
The Archies,greatest-hot-100-singles
Nelly Featuring Kelly Rowland,greatest-hot-100-singles
Donna Summer,greatest-hot-100-singles
Coolio Featuring L.V.,greatest-hot-100-singles
Carly Simon,greatest-hot-100-singles
Wild Cherry,greatest-hot-100-singles
The Knack,greatest-hot-100-singles
Sinead O'Connor,greatest-hot-100-singles
All-4-One,greatest-hot-100-singles
Elvis Presley With The Jordanaires,greatest-hot-100-singles
Puff Daddy & Faith Evans Featuring 112,greatest-hot-100-singles
Katy Perry Featuring Juicy J,greatest-hot-100-singles
Hall & Oates,greatest-hot-100-artists
Katy Perry,greatest-hot-100-artists
The 4 Seasons,greatest-hot-100-artists
Carpenters,greatest-hot-100-artists
The Jacksons,greatest-hot-100-artists
Connie Francis,greatest-hot-100-artists
Brenda Lee,greatest-hot-100-artists
Cher,greatest-hot-100-artists
Bobby Vinton,greatest-hot-100-artists
Three Dog Night,greatest-hot-100-artists
Gloria Estefan,greatest-hot-100-artists
Ray Charles,greatest-hot-100-artists
Kool & The Gang,greatest-hot-100-artists
Gladys Knight And The Pips,greatest-hot-100-artists
Ricky Nelson,greatest-hot-100-artists
Duran Duran,greatest-hot-100-artists
Commodores,greatest-hot-100-artists
Paul Anka,greatest-hot-100-artists
Barry Manilow,greatest-hot-100-artists
Dionne Warwick,greatest-hot-100-artists
The Everly Brothers,greatest-hot-100-artists
James Brown,greatest-hot-100-artists
Richard Marx,greatest-hot-100-artists
Starship,greatest-hot-100-artists
Destiny's Child,greatest-hot-100-artists
The Miracles,greatest-hot-100-artists
Neil Sedaka,greatest-hot-100-artists
The Pointer Sisters,greatest-hot-100-artists
Tony Orlando & Dawn,greatest-hot-100-artists
The Emotions,greatest-hot-100-songs-by-women
Captain & Tennille,greatest-hot-100-songs-by-women
Gloria Gaynor,greatest-hot-100-songs-by-women
Leona Lewis,greatest-hot-100-songs-by-women
Ashanti,greatest-hot-100-songs-by-women
Faith Hill,greatest-hot-100-songs-by-women
Bonnie Tyler,greatest-hot-100-songs-by-women
The Bangles,greatest-hot-100-songs-by-women
Katy Perry Featuring Kanye West,greatest-hot-100-songs-by-women
The Teddy Bears,greatest-hot-100-songs-by-women
Jennifer Lopez Featuring Ja Rule,greatest-hot-100-songs-by-women
Ciara Featuring Petey Pablo,greatest-hot-100-songs-by-women
A Taste Of Honey,greatest-hot-100-songs-by-women
Lady Gaga Featuring Colby O'Donis,greatest-hot-100-songs-by-women
Usher And Alicia Keys,greatest-hot-100-songs-by-women
Beyonce Featuring Sean Paul,greatest-hot-100-songs-by-women
Lulu,greatest-hot-100-songs-by-women
Kenny Rogers Duet With Dolly Parton,greatest-hot-100-songs-by-women
Katy Perry Featuring Snoop Dogg,greatest-hot-100-songs-by-women
Elton John & Kiki Dee,greatest-hot-100-songs-by-women
Beyonce Featuring Jay Z,greatest-hot-100-songs-by-women
Bette Midler,greatest-hot-100-songs-by-women
Gwen Stefani,greatest-hot-100-songs-by-women
Patti LaBelle & Michael McDonald,greatest-hot-100-songs-by-women
Phil Collins and Marilyn Martin,greatest-hot-100-songs-by-women
Nelly Furtado Featuring Timbaland,greatest-hot-100-songs-by-women
Bobbie Gentry,greatest-hot-100-songs-by-women
Jay-Z + Alicia Keys,greatest-hot-100-songs-by-women
Jennifer Lopez,greatest-hot-100-women-artists
Monica,greatest-hot-100-women-artists
Helen Reddy,greatest-hot-100-women-artists
Cyndi Lauper,greatest-hot-100-women-artists
Taylor Dayne,greatest-hot-100-women-artists
Debbie Gibson,greatest-hot-100-women-artists
Sheena Easton,greatest-hot-100-women-artists
Kesha,greatest-hot-100-women-artists
Pat Benatar,greatest-billboard-200-albums-by-women
Lauryn Hill,greatest-billboard-200-albums-by-women
Bonnie Raitt,greatest-billboard-200-albums-by-women
Gretchen Wilson,greatest-billboard-200-albums-by-women
Go-Go's,greatest-billboard-200-albums-by-women
Big Brother And The Holding Company,greatest-billboard-200-albums-by-women
Dido,greatest-billboard-200-albums-by-women
The Singing Nun (Soeur Sourire),greatest-billboard-200-albums-by-women
Colbie Caillat,greatest-billboard-200-albums-by-women
Sade,greatest-billboard-200-women-artists
Sheryl Crow,greatest-billboard-200-women-artists
Reba McEntire,greatest-billboard-200-women-artists
Joni Mitchell,greatest-billboard-200-women-artists
Wham! Featuring George Michael,greatest-billboards-top-songs-80s
The Human League,greatest-billboards-top-songs-80s
Rick Springfield,greatest-billboards-top-songs-80s
USA For Africa,greatest-billboards-top-songs-80s
Christopher Cross,greatest-billboards-top-songs-80s
Mr. Mister,greatest-billboards-top-songs-80s
Poison,greatest-billboards-top-songs-80s
Kenny Loggins,greatest-billboards-top-songs-80s
Steve Winwood,greatest-billboards-top-songs-80s
Los Lobos,greatest-billboards-top-songs-80s
"Lipps, Inc.",greatest-billboards-top-songs-80s
Ray Parker Jr.,greatest-billboards-top-songs-80s
Laura Branigan,greatest-billboards-top-songs-80s
Yes,greatest-billboards-top-songs-80s
KC And The Sunshine Band,greatest-billboards-top-songs-80s
INXS,greatest-billboards-top-songs-80s
Quarterflash,greatest-billboards-top-songs-80s
Gregory Abbott,greatest-billboards-top-songs-80s
Eddie Murphy,greatest-billboards-top-songs-80s
Rick Astley,greatest-billboards-top-songs-80s
Paul Young,greatest-billboards-top-songs-80s
Linda Ronstadt (Featuring Aaron Neville),greatest-billboards-top-songs-80s
George Harrison,greatest-billboards-top-songs-80s
Dolly Parton,greatest-billboards-top-songs-80s
Falco,greatest-billboards-top-songs-80s
Eddie Rabbitt,greatest-billboards-top-songs-80s
Toto,greatest-billboards-top-songs-80s
Simple Minds,greatest-billboards-top-songs-80s
Culture Club,greatest-billboards-top-songs-80s
John Parr,greatest-billboards-top-songs-80s
Bruce Hornsby & The Range,greatest-billboards-top-songs-80s
Gloria Estefan & Miami Sound Machine,greatest-billboards-top-songs-80s
Toni Basil,greatest-billboards-top-songs-80s
Billy Ocean,greatest-billboards-top-songs-80s
Patti Austin A Duet With James Ingram,greatest-billboards-top-songs-80s
Eurythmics,greatest-billboards-top-songs-80s
Michael Sembello,greatest-billboards-top-songs-80s
Smokey Robinson,greatest-billboards-top-songs-80s
David Bowie,greatest-billboards-top-songs-80s
"Grover Washington, Jr. With Bill Withers",greatest-billboards-top-songs-80s
Tiffany,greatest-billboards-top-songs-80s
The Escape Club,greatest-billboards-top-songs-80s
a-ha,greatest-billboards-top-songs-80s
Air Supply,greatest-billboards-top-songs-80s
Wham!,greatest-billboards-top-songs-80s
Pet Shop Boys,greatest-billboards-top-songs-80s
Joey Scarbury,greatest-billboards-top-songs-80s
Cheap Trick,greatest-billboards-top-songs-80s
Deniece Williams,greatest-billboards-top-songs-80s
UB40,greatest-billboards-top-songs-80s
John Waite,greatest-billboards-top-songs-80s
Peter Cetera,greatest-billboards-top-songs-80s
Robert Palmer,greatest-billboards-top-songs-80s
Vangelis,greatest-billboards-top-songs-80s
Atlantic Starr,greatest-billboards-top-songs-80s
Lisa Lisa And Cult Jam,greatest-billboards-top-songs-80s
Roxette,greatest-billboards-top-songs-80s
Philip Bailey With Phil Collins,greatest-billboards-top-songs-80s
Robbie Nevil,greatest-billboards-top-songs-80s
Jan Hammer,greatest-billboards-top-songs-80s
Billy Vera & The Beaters,greatest-billboards-top-songs-80s
Belinda Carlisle,greatest-billboards-top-songs-80s
Peter Gabriel,greatest-billboards-top-songs-80s
Fine Young Cannibals,greatest-billboards-top-songs-80s
Bill Medley & Jennifer Warnes,greatest-billboards-top-songs-80s
Bad English,greatest-billboards-top-songs-80s
Juice Newton,greatest-billboards-top-songs-80s
Will To Power,greatest-billboards-top-songs-80s
Bobby McFerrin,greatest-billboards-top-songs-80s
Club Nouveau,greatest-billboards-top-songs-80s
Terence Trent D'Arby,greatest-billboards-top-songs-80s
Klymaxx,greatest-billboards-top-songs-80s
Stevie Nicks With Tom Petty And The Heartbreakers,greatest-billboards-top-songs-80s
Martika,greatest-billboards-top-songs-80s
Joe Cocker And Jennifer Warnes,greatest-billboards-top-songs-80s
Carl Anderson & Gloria Loring,greatest-billboards-top-songs-80s
Aretha Franklin & George Michael,greatest-billboards-top-songs-80s
Crowded House,greatest-billboards-top-songs-80s
Wang Chung,greatest-billboards-top-songs-80s
Bananarama,greatest-billboards-top-songs-80s
Soul II Soul,greatest-billboards-top-songs-80s
Berlin,greatest-billboards-top-songs-80s
Billy Idol,greatest-billboards-top-songs-80s
Michael Jackson And Paul McCartney,greatest-billboards-top-songs-80s
Anita Baker,greatest-billboards-top-songs-80s
Cutting Crew,greatest-billboards-top-songs-80s
Boston,greatest-billboards-top-songs-80s
Expose,greatest-billboards-top-songs-80s
Warrant,greatest-billboards-top-songs-80s
Styx,greatest-billboards-top-songs-80s
Chaka Khan,greatest-billboards-top-songs-80s
Don Henley,greatest-billboards-top-songs-80s
Simply Red,greatest-billboards-top-songs-80s
Mike + The Mechanics,greatest-billboards-top-songs-80s
Breathe,greatest-billboards-top-songs-80s
Stars On 45,greatest-billboards-top-songs-80s
Glenn Frey,greatest-billboards-top-songs-80s
Leo Sayer,greatest-billboards-top-songs-80s
Eddy Grant,greatest-billboards-top-songs-80s
Ready For The World,greatest-billboards-top-songs-80s
Jody Watley,greatest-billboards-top-songs-80s
Debarge,greatest-billboards-top-songs-80s
Peter Cetera With Amy Grant,greatest-billboards-top-songs-80s
Kim Wilde,greatest-billboards-top-songs-80s
The Alan Parsons Project,greatest-billboards-top-songs-80s
Chris de Burgh,greatest-billboards-top-songs-80s
Boy Meets Girl,greatest-billboards-top-songs-80s
Sheriff,greatest-billboards-top-songs-80s
Genesis,greatest-billboards-top-songs-80s
Johnny Hates Jazz,greatest-billboards-top-songs-80s
The B-52s,greatest-billboards-top-songs-80s
Tone-Loc,greatest-billboards-top-songs-80s
Samantha Fox,greatest-billboards-top-songs-80s
The Spinners,greatest-billboards-top-songs-80s
Rockwell,greatest-billboards-top-songs-80s
Michael Jackson With Siedah Garrett,greatest-billboards-top-songs-80s
Sting,greatest-billboards-top-songs-80s
Neneh Cherry,greatest-billboards-top-songs-80s
Sergio Mendes,greatest-billboards-top-songs-80s
Patrick Swayze (Featuring Wendy Fraser),greatest-billboards-top-songs-80s
Michael Damian,greatest-billboards-top-songs-80s
Corey Hart,greatest-billboards-top-songs-80s
Eric Carmen,greatest-billboards-top-songs-80s
Young M.C.,greatest-billboards-top-songs-80s
Kylie Minogue,greatest-billboards-top-songs-80s
The Romantics,greatest-billboards-top-songs-80s
Dexys Midnight Runners,greatest-billboards-top-songs-80s
Tommy Tutone,greatest-billboards-top-songs-80s
Ambrosia,greatest-billboards-top-songs-80s
Murray Head,greatest-billboards-top-songs-80s
Men Without Hats,greatest-billboards-top-songs-80s
Nu Shooz,greatest-billboards-top-songs-80s
Greg Kihn Band,greatest-billboards-top-songs-80s
Love And Rockets,greatest-billboards-top-songs-80s
