COMPETENCIA;CODIGO_OPERADORA;RAZAO_SOCIAL;SITUACAO_OPERADORA;VALOR_PAGO_ACUMULADO;VALOR_PARCELADO_ACUMULADO;VALOR_COBRADO_ACUMULADO;INDICE_ADIMPLENCIA
"2020/02";"392804";"Centro Clínico Gaúcho Ltda";"Ativa";338719,73;7789825,75;18375680,11;"44.24%"
"2020/02";"415910";"Centro De Endocrinologia De Jundiaí S/S Ltda";"Ativa";94883,75;161590,87;304853,14;"84.13%"
"2020/02";"350699";"Centro Hospitalar Atibaia Ltda.";"Ativa";14516,09;82643,38;1052649,95;"9.23%"
"2020/02";"408883";"Centro Médico Fátima Ltda";"Ativa";368340,10;78677,90;447018,00;"100.00%"
"2020/02";"303623";"Centro Trasmontano De Sao Paulo";"Ativa";5986116,27;18960528,85;28447835,12;"87.69%"
"2020/02";"324892";"Cetesb - Companhia Ambiental Do Estado De São Paulo";"Ativa";684053,03;0,00;684053,03;"100.00%"
"2020/02";"413291";"Cgo Saúde - Operadora De Planos De Saúde Ltda";"Ativa";5590,23;907667,11;1019943,02;"89.54%"
"2020/02";"310247";"Circulo Operario Caxiense";"Ativa";241099,82;11353839,30;12761425,94;"90.86%"
"2020/02";"343013";"Climepe Total Ltda";"Ativa";2123574,98;0,00;2239027,08;"94.84%"
"2020/02";"342955";"Climesa Clínica Médica Santana Ltda";"Ativa";196449,27;53295,41;262480,27;"95.15%"
"2020/02";"402770";"Climol Clinica Médica E Odontológica São Francisco De Assis Ltda.";"Ativa";7192,12;0,00;28044,68;"25.65%"
"2020/02";"413275";"Clinica São José Saude Ltda.";"Ativa";89076,81;3554928,26;4589033,60;"79.41%"
"2020/02";"340782";"Clinipam Clinica Paranaense De Assistencia Medica Ltda";"Ativa";503,93;0,00;31451593,09;"0.00%"
"2020/02";"310239";"Cmi - Clinica De Medicina Integrada Ltda.";"Ativa";22608,93;180049,36;216521,53;"93.60%"
"2020/02";"330051";"Companhia De Engenharia De Trafego - Cet";"Ativa";1046534,20;0,00;1567753,00;"66.75%"
"2020/02";"416509";"Companhia Docas Do Espirito Santo - Codesa";"Ativa";37193,61;0,00;53325,03;"69.75%"
"2020/02";"392405";"Companhia Espirito Santense De Saneamento";"Ativa";107203,48;0,00;944395,63;"11.35%"
"2020/02";"334189";"Companhia Nacional De Abastecimento - Conab";"Ativa";2136272,45;0,00;2865449,80;"74.55%"
"2020/02";"390259";"Comseder - Cooperativa De Assistência Médica Dos Servidores Da Suplan E Do Der Ltda";"Ativa";83030,67;500801,06;598102,43;"97.61%"
"2020/02";"321931";"Conferência São José Do Avaí";"Ativa";157869,37;0,00;229522,00;"68.78%"
"2020/02";"410624";"Confiança Assistência Médico Hospitalar Ltda";"Ativa";367456,22;0,00;1110116,68;"33.10%"
"2020/02";"367087";"Cooperativa Central Unimed De Cooperativas De Assistência À Saúde Do Rio Grande Do Sul Ltda.";"Ativa";3696426,03;0,00;4612515,93;"80.14%"
"2020/02";"350362";"Cooperativa De Consumo E Benefícios Sociais E Econômicos "C.S. Assistance"";"Ativa";11416,81;19163,93;56968,68;"53.68%"
"2020/02";"313084";"Cooperativa De Trabalho Medico De Araguaína - Unimed Araguaína";"Ativa";513114,15;0,00;1958982,64;"26.19%"
"2020/02";"318213";"Cooperativa De Trabalho Medico Região Do Planalto Serrano";"Ativa";3032260,22;0,00;3042837,30;"99.65%"
"2020/02";"337188";"Cooperativa De Trabalho Médico De Pouso Alegre";"Ativa";4691834,48;1222679,34;6034181,42;"98.02%"
"2020/02";"338559";"Cooperativa De Trabalho Médico De São Luís Ltda. - Unimed De São Luís";"Ativa";5734,22;34236,24;8726851,08;"0.46%"
"2020/02";"317012";"Cooperativa De Trabalho Médico Do Planalto Norte De Santa Catarina Ltda";"Ativa";1290856,58;9390,27;1347536,80;"96.49%"
"2020/02";"314170";"Cooperativa De Usuários Assistência Médico-Hospitalar Ltda - Vivamed Saúde";"Ativa";2172488,89;470014,49;2722612,50;"97.06%"
"2020/02";"404241";"Cooperativa Dos Usuários De Serviços De Saúde Do Vale Do Rio Dos Sinos Ltda";"Ativa";71877,60;0,00;71877,60;"100.00%"
"2020/02";"406805";"Cooperativa Dos Usuários De Serviços De Saúde Ltda.";"Ativa";1386588,69;28397,46;1425592,55;"99.26%"
"2020/02";"419168";"Coopus Planos De Saúde Ltda";"Ativa";0,00;0,00;249015,39;"0.00%"
"2020/02";"416118";"Dana Industrias Ltda.";"Ativa";267299,52;0,00;267299,52;"100.00%"
"2020/02";"357669";"Desban - Fundação Bdmg De Seguridade Social";"Ativa";107832,26;0,00;107832,26;"100.00%"
"2020/02";"349682";"Doctor Clin Operadora De Planos De Saúde Ltda.";"Ativa";82645,11;9703060,76;11166932,24;"87.63%"
"2020/02";"365645";"Dona Saúde Clinicas Ltda. Me";"Ativa";0,00;0,00;80333,37;"0.00%"
"2020/02";"416282";"E.X.M Brasil Saúde Ltda";"Ativa";0,00;0,00;1131486,15;"0.00%"
"2020/02";"420069";"Eco Saúde Plano Empresarial Ltda - Epp";"Ativa";0,00;0,00;18628,05;"0.00%"
"2020/02";"414298";"Ecole Serviços Médicos Ltda";"Ativa";227798,59;13273245,17;14452716,79;"93.42%"
"2020/02";"413755";"Econlife Saude Ltda";"Ativa";55291,58;20845,96;88445,31;"86.08%"
"2020/02";"342611";"Economus Instituto De Seguridade Social";"Ativa";7449224,73;0,00;7520798,47;"99.05%"
"2020/02";"356891";"Eletrosul Centrais Elétricas S/A";"Ativa";401490,47;0,00;401490,47;"100.00%"
"2020/02";"417297";"Elosaúde - Associação De Assistência À Saúde";"Ativa";700413,67;0,00;700413,67;"100.00%"
"2020/02";"400891";"Empresa Brasileira De Infra-Estrutura Aeroportuária";"Ativa";4251862,69;0,00;4251862,69;"100.00%"
"2020/02";"320587";"Empresa Brasileira De Telecomunicações S.A";"Ativa";1190768,51;0,00;1235993,01;"96.34%"
"2020/02";"306525";"Empresa De Transportes E Trânsito De Belo Horizonte S.A. - Bhtrans";"Ativa";70435,56;0,00;70435,56;"100.00%"
"2020/02";"410322";"Empresa Gerencial De Projetos Navais";"Ativa";729351,60;0,00;793063,59;"91.97%"
"2020/02";"395480";"Esmale Assistencia Internacional De Saude Ltda.";"Ativa";104704,45;2444200,05;5219492,26;"48.83%"
"2020/02";"420905";"Estaleiro Atlântico Sul S/A";"Ativa";88333,75;0,00;88333,75;"100.00%"
"2020/02";"401480";"Evangelico Saude Ltda.";"Ativa";1349448,17;300561,18;1650009,35;"100.00%"
"2020/02";"410179";"Evercross Planejamento De Assistência Médica Ltda.";"Ativa";0,00;135968,75;249699,22;"54.45%"
"2020/02";"411868";"Extremamedic Planos De Saúde Ltda";"Ativa";0,00;0,00;300300,43;"0.00%"
"2020/02";"313971";"Federação Das Sociedades Cooperativas De Trabalho Médico Do Acre, Amapá, Amazonas, Pará, Rondonia E Roraima";"Ativa";107441,42;647855,25;1358681,50;"55.59%"
"2020/02";"410888";"Filosanitas Saude Ltda";"Ativa";85443,95;0,00;85443,95;"100.00%"
"2020/02";"351091";"Free Life Operadora De Planos De Saúde Ltda";"Ativa";95983,45;1609740,54;2967337,66;"57.48%"
