,carat,cut,color,clarity,depth,table,x,y,z,cut_mdl,color_mdl,clarity_mdl,price_predicted
315,2.01,Good,J,SI2,63.4,59.0,7.95,7.99,5.05,1,0,1,11463.818354040526
323,0.39,Premium,H,SI2,61.2,58.0,4.51,6.02,4.44,3,2,1,947.8441624088234
328,1.06,Premium,D,SI2,61.6,61.0,6.59,6.53,4.04,3,6,1,5661.147905128911
338,1.51,Good,F,SI2,62.9,55.0,7.22,7.28,4.56,1,4,1,8436.046914380513
339,1.04,Very Good,I,SI2,61.6,58.0,6.47,6.58,4.02,2,1,1,3969.690769562955
355,0.45,Very Good,E,SI2,63.2,54.0,4.94,4.82,3.09,2,5,1,400.0
356,0.57,Ideal,F,SI2,62.2,53.0,5.34,5.4,3.34,4,4,1,1298.5216499056578
357,1.01,Good,I,SI2,61.8,62.0,6.28,6.35,3.9,1,1,1,3534.6025815479434
358,0.71,Fair,G,SI2,65.6,61.0,5.46,5.37,3.55,0,3,1,1421.6910071297198
359,0.72,Ideal,H,SI2,61.8,55.0,5.79,5.76,3.57,4,2,1,1992.7190368696547
363,0.94,Premium,E,SI2,62.4,58.0,6.33,6.26,3.93,3,5,1,4409.85434952219
380,1.2,Ideal,J,SI2,62.5,57.0,6.8,6.74,4.23,4,0,1,5391.887922291481
388,1.0,Ideal,G,SI2,62.8,57.0,6.37,6.31,3.98,4,3,1,4555.5139250619895
394,0.72,Ideal,E,SI2,62.3,54.0,5.75,5.78,3.59,4,5,1,2795.7217053721806
395,1.24,Ideal,H,SI2,59.5,61.0,6.98,7.03,4.17,4,2,1,6255.098367772903
409,0.6,Ideal,H,SI2,61.7,54.0,5.44,5.48,3.37,4,2,1,1009.0930374304435
419,1.03,Premium,D,SI2,62.5,54.0,6.5,6.42,4.04,3,6,1,5415.2414052691065
425,1.0,Good,H,SI2,63.9,55.0,6.41,6.34,4.07,1,2,1,3720.30130442885
426,2.02,Ideal,H,SI2,62.7,57.0,8.05,8.0,5.03,4,2,1,12648.667364127778
427,1.08,Very Good,G,SI2,63.2,57.0,6.54,6.5,4.12,2,3,1,4832.901215044377
432,1.01,Good,E,SI2,61.4,64.0,6.29,6.42,3.9,1,5,1,4605.272806217977
443,0.7,Very Good,I,SI2,58.8,60.0,5.8,5.83,3.42,2,1,1,1182.750437818523
445,0.73,Premium,F,SI2,59.5,62.0,5.89,5.84,3.49,3,4,1,2420.8412943360627
474,0.6,Premium,E,SI2,62.0,59.0,5.41,5.37,3.34,3,5,1,1622.914017777758
478,0.54,Ideal,H,SI2,61.2,56.0,5.27,5.24,3.21,4,2,1,517.2800377108388
480,0.49,Premium,H,SI2,59.9,59.0,5.17,5.12,3.08,3,2,1,947.8441624088234
484,1.02,Good,H,SI2,63.7,58.0,6.28,6.24,3.99,1,2,1,3884.2389710020516
485,1.01,Good,E,SI2,63.7,58.0,6.32,6.36,4.04,1,5,1,4605.272806217977
491,2.31,Premium,I,SI2,58.8,58.0,8.7,8.64,5.1,3,1,1,14568.914285116483
499,1.02,Good,H,SI2,58.6,64.0,6.32,6.26,3.68,1,2,1,3884.2389710020516
501,1.23,Very Good,G,SI2,60.8,59.0,6.88,6.97,4.21,2,3,1,6062.43371434339
513,0.41,Good,E,SI2,63.5,55.0,4.69,4.73,2.99,1,5,1,947.8441624088234
515,1.08,Very Good,F,SI2,63.3,59.0,6.48,6.44,4.09,2,4,1,5100.568771211884
520,2.45,Ideal,F,SI2,62.0,55.0,8.67,8.64,5.36,4,4,1,16708.662307786635
522,1.0,Very Good,D,SI2,63.7,55.0,6.32,6.37,4.04,2,6,1,4980.153217254095
524,1.01,Ideal,F,SI2,60.8,55.0,6.52,6.48,3.95,4,4,1,4905.150314516098
527,0.44,Premium,F,SI2,62.8,60.0,4.86,4.82,3.04,3,4,1,400.0
532,1.47,Premium,I,SI2,61.6,59.0,7.29,7.32,4.5,3,1,1,7683.5322890420075
537,1.01,Premium,G,SI2,61.1,58.0,6.39,6.37,3.9,3,3,1,4448.301070193381
544,1.02,Very Good,H,SI2,63.5,58.0,6.34,6.38,4.04,2,2,1,4073.420659157261
545,2.2,Very Good,H,SI2,63.3,57.0,8.28,8.17,5.21,2,2,1,13745.742986976176
548,1.0,Fair,H,SI2,69.5,55.0,6.17,6.1,4.26,0,2,1,3531.1196162736387
549,1.0,Fair,G,SI2,68.3,54.0,6.21,6.12,4.2,0,3,1,3798.787172441148
551,1.05,Very Good,E,SI2,62.2,59.0,6.44,6.51,4.03,2,5,1,5122.329827519591
556,1.01,Good,I,SI2,62.6,59.0,6.24,6.35,3.94,1,1,1,3534.6025815479434
561,1.0,Premium,F,SI2,60.2,62.0,6.53,6.45,3.91,3,4,1,4633.9997930742875
565,0.82,Ideal,E,SI2,62.6,55.0,5.94,5.98,3.73,4,5,1,3615.4100382381903
573,0.71,Ideal,F,SI2,61.4,55.0,5.76,5.78,3.54,4,4,1,2446.0853159180706
575,0.7,Ideal,H,SI2,62.1,55.0,5.69,5.72,3.54,4,2,1,1828.7813702964531
576,1.29,Very Good,J,SI2,63.5,57.0,6.89,6.87,4.37,2,0,1,5751.244045560469
579,1.21,Very Good,G,SI2,62.8,60.0,6.7,6.77,4.23,2,3,1,5898.496047770189
582,0.83,Ideal,H,SI2,62.3,54.0,6.04,6.07,3.77,4,2,1,2894.376203022265
590,1.24,Very Good,J,SI2,63.3,60.0,6.83,6.75,4.29,2,0,1,5341.399879127465
592,0.35,Premium,H,SI2,62.0,58.0,4.47,4.5,2.78,3,2,1,947.8441624088234
595,1.0,Very Good,D,SI2,63.5,59.0,6.35,6.32,4.02,2,6,1,4980.153217254095
600,0.9,Premium,F,SI2,60.5,57.0,6.23,6.2,3.76,3,4,1,3814.3114602082796
601,1.0,Good,F,SI2,63.4,60.0,6.28,6.33,4.0,1,4,1,4255.636416763867
602,1.5,Premium,H,SI2,62.1,59.0,7.28,7.24,4.51,3,2,1,8197.106345069318
609,0.32,Very Good,G,SI2,62.4,59.0,4.35,4.4,2.73,2,3,1,947.8441624088234
615,1.07,Very Good,G,SI2,62.9,59.0,6.51,6.58,4.12,2,3,1,4750.932381757776
617,0.32,Ideal,D,SI2,59.5,57.0,4.47,4.5,2.67,4,6,1,947.8441624088234
618,0.9,Premium,F,SI2,62.3,57.0,6.18,6.15,3.84,3,4,1,3814.3114602082796
622,1.35,Good,I,SI2,57.9,60.0,7.33,7.29,4.23,1,1,1,6321.5429132923755
626,1.2,Ideal,E,SI2,62.5,55.0,6.77,6.84,4.25,4,5,1,6730.225703129024
628,1.2,Very Good,H,SI2,62.1,59.0,6.75,6.8,4.21,2,2,1,5548.859658316077
632,0.31,Good,D,SI2,63.6,54.0,4.34,4.31,2.75,1,6,1,947.8441624088234
634,0.31,Ideal,H,SI2,61.3,55.0,4.35,4.38,2.67,4,2,1,947.8441624088234
636,2.08,Very Good,H,SI2,63.4,59.0,8.06,8.0,5.09,2,2,1,12762.116987536963
641,1.22,Premium,J,SI2,62.2,60.0,6.89,6.77,4.25,3,0,1,5366.643900709475
644,1.21,Premium,E,SI2,61.9,60.0,6.78,6.73,4.18,3,5,1,6623.012848260417
645,0.9,Very Good,D,SI2,60.3,63.0,6.22,6.12,3.72,2,6,1,4160.464884388085
646,1.55,Ideal,G,SI2,60.7,55.0,7.54,7.51,4.57,4,3,1,9063.799755825043
659,2.09,Premium,H,SI2,61.0,60.0,8.28,8.19,5.02,3,2,1,13033.267508978774
666,1.04,Premium,J,SI2,62.0,59.0,6.49,6.47,4.02,3,0,1,3891.2049015506573
672,0.5,Ideal,E,SI2,62.8,55.0,5.08,5.05,3.18,4,5,1,992.4073730669597
676,0.72,Ideal,F,SI2,62.4,55.0,5.72,5.76,3.58,4,4,1,2528.0541492046714
677,1.51,Premium,F,SI2,59.9,58.0,7.53,7.46,4.49,3,4,1,8814.410290690936
682,0.9,Very Good,F,SI2,61.1,54.0,6.27,6.29,3.84,2,4,1,3625.1297720530683
694,0.75,Very Good,D,SI2,63.6,58.0,5.71,5.76,3.65,2,6,1,2930.9323850890705
701,0.9,Very Good,I,SI2,60.4,58.0,6.25,6.31,3.79,2,1,1,2822.1271035505424
702,1.57,Premium,J,SI2,59.6,56.0,7.59,7.5,4.5,3,0,1,8235.553065740507
708,2.02,Ideal,H,SI2,62.4,56.0,8.14,8.04,5.06,4,2,1,12648.667364127778
722,1.28,Very Good,F,SI2,62.5,55.0,6.91,7.0,4.35,2,4,1,6739.945436943902
728,0.3,Good,D,SI2,63.2,57.0,4.21,4.24,2.67,1,6,1,947.8441624088234
733,1.51,Premium,H,SI2,62.4,58.0,7.36,7.31,4.58,3,2,1,8279.075178355917
738,0.7,Very Good,D,SI2,63.1,58.0,5.63,5.57,3.53,2,6,1,2521.0882186560657
740,1.11,Premium,H,SI2,61.5,59.0,6.67,6.63,4.09,3,2,1,5000.321846891881
742,0.7,Ideal,E,SI2,61.2,55.0,5.76,5.68,3.5,4,5,1,2631.784038798979
758,0.57,Very Good,E,SI2,59.7,57.0,5.4,5.48,3.25,2,5,1,1187.8258297627453
770,0.3,Very Good,F,SI2,62.6,61.0,4.2,4.24,2.64,2,4,1,947.8441624088234
771,1.11,Very Good,E,SI2,61.7,63.0,6.65,6.54,4.07,2,5,1,5614.142827239196
775,0.5,Good,E,SI2,58.2,59.0,5.24,5.27,3.06,1,5,1,424.86230860132855
776,0.9,Fair,F,SI2,65.7,63.0,6.01,5.96,3.93,0,4,1,3246.7663957426475
777,0.7,Premium,D,SI2,60.6,58.0,5.75,5.7,3.47,3,6,1,2710.269906811276
778,0.34,Premium,D,SI2,60.6,60.0,4.53,4.48,2.73,3,6,1,947.8441624088234
782,1.16,Ideal,G,SI2,61.9,56.0,6.77,6.73,4.18,4,3,1,5867.015257647604
801,0.76,Premium,E,SI2,60.8,57.0,5.89,5.85,3.57,3,5,1,2934.4153503633734
805,1.04,Ideal,H,SI2,62.0,57.0,6.53,6.43,4.02,4,2,1,4615.721702040883
818,0.7,Very Good,E,SI2,62.0,60.0,5.67,5.72,3.53,2,5,1,2253.4206624885574
820,0.91,Premium,F,SI2,60.8,59.0,6.28,6.25,3.81,3,4,1,3896.2802934948804
823,0.9,Ideal,H,SI2,62.1,55.0,6.17,6.2,3.84,4,2,1,3468.1580360284725
828,1.72,Good,J,SI2,63.2,57.0,7.56,7.6,4.79,1,0,1,9086.722188729102
845,1.08,Premium,E,SI2,60.8,59.0,6.57,6.62,4.01,3,5,1,5557.418015534605
848,0.72,Ideal,F,SI2,61.9,54.0,5.83,5.73,3.57,4,4,1,2528.0541492046714
851,1.47,Very Good,H,SI2,59.1,56.0,7.46,7.51,4.42,2,2,1,7762.018157054304
852,1.01,Good,F,SI2,62.5,59.0,6.31,6.37,3.96,1,4,1,4337.6052500504675
853,1.24,Fair,G,SI2,65.7,57.0,6.72,6.68,4.4,0,3,1,5766.03917131957
854,0.72,Very Good,G,SI2,62.5,56.0,5.68,5.71,3.56,2,3,1,1882.0232167267413
879,0.71,Ideal,G,SI2,61.5,55.0,5.74,5.78,3.54,4,3,1,2178.4177597505613
888,1.08,Very Good,J,SI2,63.2,59.0,6.57,6.4,4.1,2,0,1,4029.898546541851
892,1.46,Premium,D,SI2,62.0,55.0,7.32,7.23,4.51,3,6,1,8939.901236592948
897,2.3,Ideal,H,SI2,61.6,56.0,8.48,8.52,5.24,4,2,1,14943.794696152603
899,0.4,Ideal,F,SI2,62.0,57.0,4.7,4.72,2.92,4,4,1,947.8441624088234
906,0.94,Premium,F,SI2,62.4,58.0,6.23,6.17,3.87,3,4,1,4142.186793354683
907,0.72,Good,G,SI2,63.7,59.0,5.74,5.65,3.63,1,3,1,1692.841528571531
933,1.33,Premium,G,SI2,59.2,62.0,7.22,7.16,4.26,3,3,1,7071.303735364611
937,0.9,Very Good,F,SI2,62.0,59.0,6.2,6.1,3.81,2,4,1,3625.1297720530683
938,2.07,Fair,D,SI2,64.5,60.0,7.99,7.88,5.12,0,6,1,13372.455002609971
948,0.92,Very Good,G,SI2,59.4,62.0,6.34,6.36,3.77,2,3,1,3521.3998824587607
949,1.0,Premium,H,SI2,60.0,62.0,6.53,6.51,3.91,3,2,1,4098.664680739271
954,0.3,Very Good,E,SI2,58.8,60.0,4.39,4.42,2.59,2,5,1,947.8441624088234
955,1.03,Very Good,D,SI2,61.3,61.0,6.46,6.49,3.97,2,6,1,5226.059717113895
958,0.9,Premium,F,SI2,58.9,59.0,6.31,6.26,3.7,3,4,1,3814.3114602082796
960,0.9,Good,D,SI2,63.8,58.0,6.13,6.09,3.9,1,6,1,3971.2831962328755
975,2.01,Premium,E,SI2,58.7,54.0,8.27,8.2,4.83,3,5,1,13180.51951118849
976,0.3,Very Good,D,SI2,61.8,58.0,4.29,4.32,2.66,2,6,1,947.8441624088234
984,0.97,Premium,F,SI2,61.9,58.0,6.31,6.35,3.92,3,4,1,4388.093293214485
985,1.2,Premium,D,SI2,62.0,58.0,6.84,6.77,4.22,3,6,1,6808.711571141322
989,0.79,Premium,H,SI2,62.8,57.0,5.91,5.88,3.7,3,2,1,2377.3191817206507
990,0.77,Premium,G,SI2,61.2,58.0,5.99,5.96,3.64,3,3,1,2481.0490713149575
996,0.36,Premium,D,SI2,61.5,60.0,4.54,4.6,2.81,3,6,1,947.8441624088234
998,0.9,Good,J,SI2,63.9,56.0,6.17,6.1,3.92,1,0,1,2365.2778592278237
999,1.0,Premium,G,SI2,62.9,60.0,6.35,6.3,3.98,3,3,1,4366.33223690678
1005,0.9,Premium,H,SI2,59.5,60.0,6.32,6.29,3.75,3,2,1,3278.976347873261
1009,1.06,Ideal,I,SI2,61.9,59.0,6.47,6.52,4.02,4,1,1,4511.991812446579
1012,0.96,Premium,G,SI2,59.3,58.0,6.49,6.43,3.83,3,3,1,4038.456903760375
1016,0.52,Very Good,E,SI2,62.6,58.0,5.11,5.14,3.21,2,5,1,777.9816633297405
1019,1.06,Ideal,I,SI2,62.7,58.0,6.48,6.5,4.07,4,1,1,4511.991812446579
1023,0.42,Very Good,D,SI2,63.1,56.0,4.8,4.74,3.01,2,6,1,400.0
1031,0.7,Very Good,E,SI2,59.5,56.0,5.79,5.81,3.45,2,5,1,2253.4206624885574
1038,1.01,Good,F,SI2,64.3,59.0,6.33,6.26,4.05,1,4,1,4337.6052500504675
1039,1.26,Premium,H,SI2,61.3,57.0,6.96,6.87,4.24,3,2,1,6229.854346190895
1040,2.23,Premium,J,SI2,60.5,61.0,8.47,8.4,5.1,3,0,1,13645.496062656166
1055,0.4,Ideal,F,SI2,62.1,54.0,4.75,4.78,2.96,4,4,1,947.8441624088234
1067,1.51,Good,E,SI2,63.1,58.0,7.28,7.31,4.6,1,5,1,8703.714470548024
1071,1.0,Very Good,H,SI2,60.2,61.0,6.44,6.48,3.89,2,2,1,3909.4829925840595
1076,1.03,Very Good,D,SI2,61.8,60.0,6.42,6.45,3.98,2,6,1,5226.059717113895
1089,1.02,Very Good,F,SI2,60.9,58.0,6.43,6.55,3.95,2,4,1,4608.755771492278
