,carat,cut,color,clarity,depth,table,x,y,z,cut_mdl,color_mdl,clarity_mdl,price_predicted
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3,6,5,5024.545825644547
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,1,3,2,778.2448679795816
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,4,3,3,1679.3852470742659
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,4,2,7,9516.931463861856
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,3,5,6,1362.1070345692606
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,4,6,3,2550.8636061869474
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,4,3,1,6870.921402601303
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,4,5,5,1608.7432935658298
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,3,1,3,-696.9657394339229
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,4,3,2,-601.5872349982783
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,1,5,2,6426.354265656135
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,4,2,4,-225.6695584745139
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,4,6,2,533.4987219433806
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,4,4,6,5063.709643872904
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,3,3,3,-408.87749761321993
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,3,5,3,1812.333128286643
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,2,5,2,1221.4734704086086
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,4,0,4,1595.1029823365934
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,4,4,7,1984.6609700895933
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,4,3,6,1932.1127475674866
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,4,4,3,-21.823816818217892
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,2,2,4,4736.201676888364
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3,3,1,2849.5362738346594
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3,5,1,2522.5401207210834
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,2,0,3,-996.1502209525997
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2,3,2,2339.292417009112
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2,6,3,3822.228471944154
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,2,2,4,4736.201676888364
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2,4,1,2399.094037755058
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,3,2,3,9639.90549753018
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,2,4,2,9600.741679301826
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,4,4,4,1468.3258717673962
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,3,3,3,5654.097252453235
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,3,1,1,16884.127514055006
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,4,4,5,7264.066324892958
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,4,6,3,1408.5640155947167
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,4,4,2,2881.4864584124407
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,1,5,3,5983.38157016259
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,2,1,3,5913.822244234811
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,4,1,3,5872.626168346162
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2,5,3,3414.5767532048267
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,3,4,2,5362.422076093879
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,4,2,3,9970.784256691157
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,4,3,5,1584.2626495741033
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,2,0,3,-556.804224570973
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,2,5,1,-1059.4990116639347
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,4,3,3,-165.8679377285698
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3,5,3,3569.7171138131525
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,4,3,5,881.3090553634993
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,3,2,1,5605.175729043045
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,4,5,3,2055.342688171293
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,1,3,0,4827.481432914388
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,3,5,3,1988.0715268392942
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,2,4,5,12.118860846596363
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,0,4,2,503.54103045263037
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,2,6,4,7596.977341714233
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,3,3,4,-61.027399619836615
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,4,0,4,716.4109895733391
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,4,0,4,9766.93851503486
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,3,4,1,5102.441177376821
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,2,3,5,395.28993559419814
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,4,3,7,2543.5704433898463
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4,5,3,6624.541050540218
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,3,0,2,5489.199186663076
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,2,0,1,3756.0399381928128
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3,5,3,3657.5863130894777
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,2,2,5,-100.23098242145534
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,4,3,1,5465.014214180097
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,4,4,4,4280.14024860981
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,4,6,3,1584.302414147367
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,4,1,2,516.2317116022268
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,4,5,3,2055.342688171293
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,3,4,1,4926.7027788241685
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,3,2,3,5246.445533713908
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,3,2,3,5422.183932266558
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,1,5,4,4046.6324869715118
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,3,2,1,4287.137739898164
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,1,6,2,-195.52995771057158
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,4,4,4,8497.861813873431
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,4,6,4,1141.3297186538211
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,3,3,2,5657.7239515651545
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,2,5,5,7185.698923862983
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,2,4,7,1059.2958539386655
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,2,6,4,1182.5257945424728
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,4,4,5,3134.2139589056624
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4,3,2,4319.087924475947
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,4,3,6,4831.796323686227
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,2,5,2,4033.287847251022
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4,2,2,5229.474194881501
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2,5,3,3502.445952481152
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,4,4,2,509.01807795165314
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,4,5,3,473.6971011974347
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,0,6,1,11339.559884544307
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,4,3,2,6340.079507831431
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,4,6,2,1939.4059103645877
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,2,3,4,-216.16776022816157
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,3,3,4,10746.884111368194
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,0,2,1,12696.50578498206
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,3,2,4,-117.20232125386246
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2,3,0,1204.2462246407194
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,3,1,2,6687.6736988893335
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,3,6,3,374.7316622231365
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2,2,4,2012.2564993222732
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4,5,2,4255.699369191347
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,2,3,5,1098.2435298048022
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,4,2,7,1432.965130439914
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,4,1,1,6319.225562951624
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,2,4,1,9165.022382032117
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,4,3,4,2378.7121421729516
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,4,3,6,1229.1591533568826
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,4,2,5,2582.518119255981
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,3,5,1,4807.139301905543
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,2,5,2,1309.3426696849347
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,2,2,2,4743.455075112199
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,1,1,4,5667.185985238242
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,4,2,2,6723.250582579032
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,0,2,3,13743.682778074128
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,4,3,3,10290.566776154157
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,2,1,1,12774.87318601203
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,1,4,5,296.32449661989995
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,0,3,4,2988.319489608206
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,4,3,6,4656.057925133575
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,0,2,0,14808.993266725787
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,4,0,3,1071.5144857905598
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,4,6,4,3162.321302009308
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,2,1,2,6005.318142623055
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,2,4,3,1513.148646767967
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,3,4,1,9847.377938298394
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3,1,0,719.821546323039
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,2,2,2,9576.261035310099
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,2,6,3,6546.173649510243
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,3,4,3,10279.470536456187
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2,5,4,3938.1652497508603
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,3,4,2,266.008518067003
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,3,2,2,13597.646164076743
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,3,3,4,26.841799656489457
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,4,5,5,2487.435286329084
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,4,6,5,5091.816986976548
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,3,0,2,5840.6759837683785
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,4,3,4,6684.302906712897
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,4,4,0,1834.3094653203716
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,3,4,2,1232.5697101065834
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,3,2,1,4990.091334108769
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3,5,1,4455.6625048002425
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3,4,3,3337.8037936264755
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1,4,1,750.1772894491996
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2,3,3,2862.8809135551473
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3,3,2,4076.078364591298
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,4,3,2,5724.995112897153
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3,2,1,2969.099750753283
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,3,3,3,6444.920045940165
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,4,5,2,3201.268977875443
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,3,3,4,6441.293346828248
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,3,5,0,4019.943207530534
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,3,4,0,5193.937075765065
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,3,2,1,14040.61885957029
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,4,4,6,1724.680071372536
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,0,1,3,3582.5499396626765
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,4,5,4,4336.315170243835
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,4,3,3,12311.558359509645
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4,2,2,3208.482611526015
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,1,1,6,3990.417800764222
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,4,3,3,449.21645720570996
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,4,3,3,-77.99873845224374
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,3,4,3,174.5126196787587
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,2,1,3,7319.72943265602
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,3,3,2,11193.483505973656
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,3,4,2,5450.291275370204
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1,6,2,1034.6388321579843
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3,5,2,3133.9978165434422
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,4,3,4,6332.826109607595
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,1,0,1,2546.4691862685813
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,4,4,6,1548.9416728198858
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,4,3,6,1141.2899540805574
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,2,3,2,2251.4232177327885
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,3,2,7,7428.668719174371
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,2,2,1,8437.588143829787
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,2,6,4,6015.331754740373
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,1,4,5,-143.02149976172768
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,1,5,5,352.4994182539249
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,4,4,5,1376.8299733791528
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,2,6,1,2950.789877404737
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,2,3,7,2233.2897221731964
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,4,5,3,210.0895033684592
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,3,0,5,5741.926687156298
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,4,6,1,1327.948214542227
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,3,4,0,10641.827430897241
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1,5,2,1066.3331098002836
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,4,5,4,4248.445970967512
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1,2,3,718.4432472336357
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,3,4,1,4926.7027788241685
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,4,4,3,-21.823816818217892
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,1,3,2,4820.22803469055
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,1,5,2,7480.7846569720405
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,2,1,2,4335.803356372871
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,4,3,3,6160.714410166864
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,1,3,2,3853.6668426509714
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,4,5,3,2494.6886845529207
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,2,4,2,3449.897729959044
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,4,6,2,6.283526285427797
262,0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,4,2,3,3292.7251116904226
263,1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,3,2,2,6568.110221970708
264,1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,2,0,4,9456.65779381821
265,1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,4,2,5,8294.016072217137
266,0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,4,4,2,2881.4864584124407
267,0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,4,1,3,951.9510088719344
268,0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,4,5,4,2139.585188335701
269,0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,4,3,7,2631.4396426661715
270,0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,2,4,3,195.110657623085
271,0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,4,4,1,1303.4675705505006
